title,author,cover_image,page_count,year
Cien años de soledad,Gabriel García Márquez,https://prodimage.images-bn.com/pimages/9780307474728_p0_v2_s550x406.jpg,496,1967
IT,Stephen King,https://prodimage.images-bn.com/pimages/9781501142970_p0_v3_s550x406.jpg,1168,1986
Moby Dick,Herman Melville,https://prodimage.images-bn.com/pimages/9781593080181_p0_v4_s550x406.jpg,752,1851
Madame Bovary,Gustave Flaubert,https://prodimage.images-bn.com/pimages/9781482398076_p0_v2_s550x406.jpg,324,1856
Divina Commedia,Dante Alighieri,https://prodimage.images-bn.com/pimages/9781721226108_p0_v1_s550x406.jpg,742,1307
Don Quijote de la Mancha,Miguel de Cervantes Saavedra,https://prodimage.images-bn.com/pimages/9780307475411_p0_v2_s550x406.jpg,1056,1605
Le comte de Monte-Cristo,Alexandre Dumas,https://prodimage.images-bn.com/pimages/9781979856911_p0_v1_s550x406.jpg,480,1844
La fiesta del chivo,Mario Vargas Llosa,https://prodimage.images-bn.com/pimages/9788490625637_p0_v4_s550x406.jpg,528,2000
Heart of Darkness,Joseph Conrad,https://prodimage.images-bn.com/pimages/9780486264646_p0_v2_s550x406.jpg,80,1899
The Importance of Being Earnest,Oscar Wilde,https://prodimage.images-bn.com/pimages/9780380012770_p0_v2_s550x406.jpg,160,1895
The Golden Fleece,Robert Graves,https://prodimage.images-bn.com/pimages/9781609807672_p0_v1_s550x406.jpg,544,1944
The Shining,Stephen King,https://prodimage.images-bn.com/pimages/9780345806789_p0_v1_s550x406.jpg,688,1977
The Hobbit,J. R. R. Tolkien,https://prodimage.images-bn.com/pimages/9780345339683_p0_v2_s550x406.jpg,320,1937
The Lord of the Rings: The Fellowship of the Ring,J. R. R. Tolkien,https://prodimage.images-bn.com/pimages/9780345339706_p0_v3_s550x406.jpg,480,1954
Hombres buenos,Arturo Pérez-Reverte,https://prodimage.images-bn.com/pimages/9781941999172_p0_v3_s550x406.jpg,248,2015
The Lord of the Rings: The Fellowship of the Ring,J. R. R. Tolkien,https://prodimage.images-bn.com/pimages/9780345339713_p0_v3_s550x406.jpg,416,1954
El asedio,Arturo Pérez-Reverte,https://prodimage.images-bn.com/pimages/9788490626610_p0_v3_s550x406.jpg,816,2010
The Lord of the Rings: The Return of the King,J. R. R. Tolkien,https://prodimage.images-bn.com/pimages/9780345339737_p0_v3_s550x406.jpg,512,1955
Salammbô,Gustave Flaubert,https://prodimage.images-bn.com/pimages/9781976461064_p0_v1_s550x406.jpg,174,1862
Farenheit 451,Ray Bradbury,https://prodimage.images-bn.com/pimages/9781451673319_p0_v7_s550x406.jpg,256,1953
Dracula,Bram Stoker,https://prodimage.images-bn.com/pimages/9781593081140_p0_v6_s550x406.jpg,448,1897
